/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_27_650.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_27_650.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_27_650.jpg, 0, 0, 0, 8.065958E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_27_751.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_27_751.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_27_751.jpg, 0, 0, 0, 8.069033E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_27_857.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_27_857.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_27_857.jpg, 0, 0, 0, 8.068173E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_27_960.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_27_960.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_27_960.jpg, 0, 0, 0, 8.045403E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_064.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_064.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_064.jpg, 0, 0, 0, 8.084182E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_173.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_173.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_173.jpg, 0, 0, 0, 8.091635E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_281.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_281.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_281.jpg, 0, 0, 0, 8.061452E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_385.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_385.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_385.jpg, 0, 0, 0, 8.062524E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_511.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_511.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_511.jpg, 0, 0, 0, 8.064853E-05
/Users/chandu/Desktop/Udacity Simulator Data/IMG/center_2022_07_30_15_29_28_616.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/left_2022_07_30_15_29_28_616.jpg, /Users/chandu/Desktop/Udacity Simulator Data/IMG/right_2022_07_30_15_29_28_616.jpg, 0, 0, 0, 8.065993E-05
